id;first_name;middle_name;last_name;dob;gender
1;Elinor;Kiribati Human S);Sauer;2022-08-01;MALE
2;Donnie;Mississippi Berkshire;Ryan;2022-08-01;FEMALE
3;Winnifred;bandwidth AI;Buckridge;2022-08-01;FEMALE
4;Lysanne;Canada Montana Supervisor;DuBuque;2022-08-01;FEMALE
5;Amari;framework bandwidth;DuBuque;2022-08-01;MALE
6;Ally;Re-engineered open;Marvin;2022-08-01;MALE
7;Bennie;Chad services;Sporer;2022-07-31;FEMALE
8;Abdul;Route;Brekke;2022-08-01;FEMALE
9;Alexandro;website;Wilkinson;2022-08-01;FEMALE
10;Coleman;Pound Borders Wyoming;Marquardt;2022-08-01;MALE
